강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,,,수강인원,수강정원,강의평점
교양선택,전학년,0913002-20,영어읽기와 토론(영어Ⅰ),프레드K.리벤버그,"월03 ,04 [N7-407] 수03 ,04 [N14-109(56-109)]",3,,,39,45,4.35
교양선택,전학년,0913001-21,ACTION ENGLISH(영어Ⅱ),헤이즐 로버츠,"수05 ,06 [N7-114] 목05 ,06 [N14-704(56-704)]",3,,,34,45,4.78
교양선택,전학년,0913002-21,영어읽기와 토론(영어Ⅰ),강선자,"수07 ,08 금03 ,04 [N16-1-123(58-123)]",3,,,38,45,4.42
교양선택,전학년,0913001-22,ACTION ENGLISH(영어Ⅱ),레이몬드 레브니악,"화01 ,02 금01 ,02 [N7-404]",3,,,43,45,4.89
교양선택,전학년,0913001-23,ACTION ENGLISH(영어Ⅱ),프레드K.리벤버그,"월01 ,02 [N7-114] 수05 ,06 [N14-703(56-703)]",3,,,31,45,4.28
교양선택,전학년,0913001-24,ACTION ENGLISH(영어Ⅱ),크리스토퍼 폴리아스코,"화01 ,02 목01 ,02 [N7-303]",3,,,30,45,0
교양선택,전학년,0913001-25,ACTION ENGLISH(영어Ⅱ),허선민,"화01 ,02 목01 ,02 [N14-703(56-703)]",3,,,34,45,4.67
교양선택,전학년,0913001-26,ACTION ENGLISH(영어Ⅱ),트리쉬케루스,"화05 ,06 목05 ,06 [N7-114]",3,,,36,45,4.59
교양선택,전학년,0912001-01,대학 글쓰기,전계영,"월02 ,03 ,04 [N14-207(56-207)]",3,,,38,45,4.45
교양선택,전학년,0912002-01,글쓰기와 발표,김혜정,"월02 ,03 ,04 [N7-404]",3,,,39,45,3.87
교양선택,전학년,0912001-02,대학 글쓰기,김은일,"월02 ,03 ,04 [N14-703(56-703)]",3,,,34,45,4.22
교양선택,전학년,0912002-02,글쓰기와 발표,김혜정,"월07 ,08 ,09 [N14-105(56-105)]",3,,,38,45,3.92
