강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,단과대학,학과,수강인원,수강정원,강의평점
전공필수,3학년,8610045-01,지역사회간호학실습,박승미,"목08 ,09 ,10 금01 ,02 ,03 [S4-2-405]",2,의과대학,간호학과,22,20,0
전공필수,3학년,8610075-01,수술/응급간호학실습,박형란,"목08 ,09 ,10 금01 ,02 ,03 [S4-2-304]",2,의과대학,간호학과,19,35,0
전공선택,3학년,8610091-01,간호연구세미나I,"김경미, 김은경",월07 [S4-2-411],1,의과대학,간호학과,19,40,0
전공선택,3학년,8610091-02,간호연구세미나I,"김선호, 조미경",목04 [S4-2-412],1,의과대학,간호학과,15,40,0
전공선택,3학년,8610091-03,간호연구세미나I,"박형란, 최미영",월00 [S4-2-420],1,의과대학,간호학과,7,80,0
전공필수,4학년,8610041-01,정신간호학III,김수미,"월01 ,02 [S4-2-202]",2,의과대학,간호학과,8,70,0
전공필수,4학년,8610042-01,지역사회간호학III,박승미,"화08 ,09 [S4-2-202]",2,의과대학,간호학과,8,70,0
전공필수,4학년,8610048-01,성인간호학IV,조미경,"월03 ,04 수04 [S4-2-202]",3,의과대학,간호학과,8,70,0
전공필수,4학년,8610049-01,간호관리학II,김은경,"화05 ,06 [S4-2-202]",2,의과대학,간호학과,8,70,0
전공필수,4학년,8610050-01,여성건강간호학III,김선호,"월07 ,08 [S4-2-202]",2,의과대학,간호학과,8,70,0
전공필수,4학년,8610053-01,간호관리학실습,김은경,"수01 ,02 ,03 목01 ,02 ,03 [S4-2-420]",2,의과대학,간호학과,3,80,0
전공필수,4학년,8610063-01,정신간호학실습,김경미,"목08 ,09 ,10 금05 ,06 ,07 [S4-2-306]",2,의과대학,간호학과,3,35,0
전공필수,4학년,8610063-02,정신간호학실습,유하정,"목08 ,09 ,10 [S4-2-303] 금05 ,06 ,07 [S4-2-405]",2,의과대학,간호학과,2,20,0
전공선택,4학년,8610079-01,통합노인간호학실습,김은수,"목08 ,09 ,10 금05 ,06 ,07 [S4-2-305]",2,의과대학,간호학과,2,35,0
전공필수,4학년,8610080-01,통합시뮬레이션,박형란,"화01 ,02 목05 ,06 [S4-2-304]",2,의과대학,간호학과,4,35,0
전공필수,4학년,8610080-02,통합시뮬레이션,이한미,"화01 ,02 목05 ,06 [S4-2-309]",2,의과대학,간호학과,1,80,0
전공선택,4학년,8610081-01,진로설계세미나,"김선호, 김철규","금08 ,09 [S4-2-202]",0,의과대학,간호학과,7,70,0
전공선택,4학년,8610085-01,선택간호실습,심미옥,"수01 ,02 ,03 금01 ,02 ,03 [S4-2-305]",2,의과대학,간호학과,4,35,0
전공필수,4학년,8610086-01,중환자간호학실습,조미경,"화01 ,02 ,03 목05 ,06 ,07 [S4-2-411]",2,의과대학,간호학과,2,40,0
전공필수,전학년,8610090-01,임상간호실습입문,유하정,"수01 ,02 [S4-2-301]",1,의과대학,간호학과,18,80,0
전공필수,전학년,8610090-02,임상간호실습입문,유하정,"수03 ,04 [S4-2-301]",1,의과대학,간호학과,15,80,0
전공필수,전학년,8610090-03,임상간호실습입문,유하정,"수06 ,07 [S4-2-301]",1,의과대학,간호학과,8,80,0
전공필수,1학년,8608037-01,핵심생물학I,"김승렬, 김형규, 배석철, 신은영, 이용희, 최중국","월02 ,03 ,04 [E7-3-103(151-103)]",3,의과대학,의예과,42,70,3.75
전공선택,1학년,8608042-01,인간과 윤리,허준,"수01 ,02 ,03 [E7-3-103(151-103)]",3,의과대학,의예과,42,70,0
전공선택,1학년,8608052-01,독서세미나,"김석용, 김승렬, 김찬형, 서제훈, 손현준, 최성준","수08 ,09 [E7-3-103(151-103)]",1,의과대학,의예과,42,70,5
전공필수,1학년,8608059-01,의료인문학세미나,"강길원, 강희택, 김석용, 김용민, 김헌식, 손현준, 최웅","수05 ,06 ,07 [E7-3-103(151-103)]",3,의과대학,의예과,42,70,0
전공필수,2학년,8608036-01,의학물리,"구용숙, 김경아, 김양미, 이태수, 차은종","목02 ,03 [E7-3-101(151-101)]",2,의과대학,의예과,45,70,0
전공필수,2학년,8608054-01,의학생화학Ⅰ,"김승렬, 배석철, 신은영, 이용희, 최중국","수01 ,02 ,03 금02 ,03 [E7-3-101(151-101)]",4,의과대학,의예과,36,70,0
전공선택,2학년,8608057-01,의학연구실습Ⅰ,"강희택, 김석용, 김승렬, 김양미, 김영철, 김용대, 김원동, 김헌, 김형규, 박민규, 박우윤, 박종혁, 손현준, 엄상용, 이용희, 조병기, 최웅, 최중국","화07 ,08 ,09 목07 ,08 ,09 [E7-3-101(151-101)]",3,의과대학,의예과,39,70,0
전공필수,2학년,8608066-01,국제개발협력과 보건의료Ⅰ,"박한솔, 엄기선, 이동민, 최성준","목05 ,06 [E7-3-101(151-101)]",2,의과대학,의예과,45,70,0
전공필수,2학년,8608068-01,인체생물학,"강훈, 구용숙, 길영천, 김양미, 김형규, 서제훈, 손현준, 이옥준","수06 ,07 ,08 [E7-3-101(151-101)]",3,의과대학,의예과,45,70,0
전공필수,1학년,8605172-01,인체의구조,"길영천, 김시욱, 박선미, 서제훈, 손보라, 손현준, 이은영, 이은영, 조병기, 최영석, 홍승화, 홍종면","03.10(목) 05 ,06 ,07 ,08 ,09 03.11(금) 01 ,02 ,03 ,05 ,06 ,07 ,08 ,09 [E7-4-강의실2]",6,의과대학,의학과,21,100,5
전공필수,1학년,8605173-01,세포와조직,"길영천, 서제훈, 손현준","02.23(수) 06 ,07 ,08 02.24(목) 05 ,06 ,07 ,08 ,09 02.28(월) 05 ,06 ,07 ,08 ,09 03.02(수) 05 ,06 ,07 ,08 ,09 03.07(월) 01 ,02 ,03 ,05 ,06 03.08(화) 01 ,02 ,03 ,05 ,06 03.10(목) 03 [E7-4-강의실2]",1,의과대학,의학과,22,100,0
전공필수,1학년,8605174-01,신경해부학,"길영천, 김지영, 박영석, 서제훈, 손현준",04.25(월) 01 [E7-4-강의실2],2,의과대학,의학과,20,100,0
전공필수,1학년,8605176-01,약작용의원리,"김찬형, 김헌식, 박민규, 최웅",05.16(월) 01 [E7-4-강의실2],2,의과대학,의학과,20,100,0
전공필수,1학년,8605180-01,면역학,"김미경, 김석용, 박희수, 송민석, 이호창, 최영기, 한혜숙",07.11(월) 01 [E7-4-강의실2],1,의과대학,의학과,19,100,0
전공필수,1학년,8605316-01,대사의학,"김승렬, 김응국, 배석철, 신은영, 이용희, 최중국","02.21(월) 02 ,03 ,05 ,08 02.22(화) 01 ,02 ,03 ,05 ,06 ,07 ,08 02.23(수) 01 ,02 ,03 ,05 02.24(목) 01 ,02 ,03 02.25(금) 01 ,02 ,03 ,05 ,06 ,07 ,08 02.28(월) 01 ,02 ,03 03.02(수) 01 ,02 ,03 03.03(목) 01 ,02 ,03 ,05 03.04(금) 09 [E7-4-강의실2]",2,의과대학,의학과,21,100,0
전공필수,1학년,8605317-01,인체의 기능,"구용숙, 김양미, 김영철, 김찬형, 김헌식, 박민규, 신은영, 이상진, 최웅",06.06(월) 01 [E7-4-강의실2],3,의과대학,의학과,19,100,0
전공필수,1학년,8605454-01,의료와 사회,"강길원, 박종혁, 이영성",07.04(월) 01 [E7-4-강의실2],1,의과대학,의학과,19,100,0
전공필수,1학년,8605455-01,의학생활의 설계,"김찬형, 김혜영, 이상진, 한정호, 한혜숙","02.21(월) 06 ,07 03.07(월) 07 ,08 03.14(월) 01 ,02 03.21(월) 01 ,02 04.04(월) 02 ,03 04.11(월) 01 ,02 04.25(월) 05 ,06 05.02(월) 03 ,05 05.23(월) 06 ,07 06.03(금) 05 ,06 06.20(월) 06 ,07 [E7-4-강의실2]",0,의과대학,의학과,19,100,0
전공필수,1학년,8605476-01,감각계통의 이해,"구용숙, 김양미, 김재형, 김형규",05.02(월) 01 [E7-4-강의실2],1,의과대학,의학과,19,100,0
전공필수,1학년,8605477-01,운동계통의 이해,"김아련, 김영철, 이상진",05.09(월) 01 [E7-4-강의실2],1,의과대학,의학과,19,100,0
전공필수,2학년,8605156-01,소화기학,"김기배, 김대훈, 김명조, 김양미, 김영중, 김영철, 김원동, 김육, 김찬형, 류동희, 박길선, 박선미, 박진우, 설영훈, 손보라, 손승명, 신경섭, 우창곡, 윤순만, 윤효영, 이은영, 이지선, 이지혁, 이택구, 장이찬, 조범상, 채희복, 최성준, 최재운, 한정호, 홍종면",04.11(월) 01 [E7-4-강의실1],4,의과대학,의학과,3,100,0
전공필수,2학년,8605190-01,심장혈관학,"김동운, 김민, 김상민, 김시욱, 김양미, 김영수, 김영철, 김육, 김찬형, 김철한, 김훈, 미지정, 박민규, 방희제, 배대환, 배장환, 서제훈, 손보라, 신경섭, 신영덕, 유진영, 이대인, 이석우, 이옥준, 이주희, 장이찬, 정혜원, 조명찬, 한헌석, 홍종면, 황경국",03.07(월) 01 [E7-4-강의실1],4,의과대학,의학과,4,100,0
전공필수,2학년,8605425-01,혈액·종양학,"권지현, 김승렬, 김용대, 김원동, 김홍식, 김희경, 문한솔, 박우윤, 박종혁, 박진우, 박희수, 배석철, 손보라, 손승명, 양예원, 엄상용, 윤효영, 이기형, 이재희, 조범상, 한혜숙",06.13(월) 01 [E7-4-강의실1],3,의과대학,의학과,4,100,0
