강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,,강의평점,수강인원,수강정원
전공선택,4학년,5307805-01,영미시 세미나,류기택,"수02 ,03 ,04 [N16-1-323(58-323)]",3,,,10,65
전공선택,1학년,5306119-01,기초중국어회화 I,태향화,"월02 금02 ,03 [N16-1-159(58-159)]",3,,,15,50
전공선택,1학년,5306119-02,기초중국어회화 I,한은실,"수01 금02 ,03 [N16-1-158(58-158)]",3,,,15,50
전공선택,1학년,5306136-01,중국어와 중국문화,이선옥,"화01 ,02 목01 [N16-1-158(58-158)]",3,,,18,50
전공선택,1학년,5306136-02,중국어와 중국문화,김성준,"화01 ,02 목01 [N16-1-159(58-159)]",3,,,14,50
전공선택,2학년,5306066-01,중국어학의 이해,이윤정,"수01 ,02 ,03 [N16-1-159(58-159)]",3,,,28,50
전공선택,2학년,5306116-01,중국어회화I,주기하,"화06 금05 ,06 [N16-1-158(58-158)]",3,,,15,50
전공선택,2학년,5306116-02,중국어회화I,주기하,"화07 [N16-1-158(58-158)] 목06 ,07 [N16-1-159(58-159)]",3,,,9,50
전공선택,2학년,5306124-01,경서제자입문,배득렬,"수07 ,08 ,09 [N16-1-159(58-159)]",3,,,21,50
전공선택,2학년,5306148-01,중급중국어I,주기하,"월06 ,07 화03 [N16-1-158(58-158)]",3,,,15,50
전공선택,2학년,5306148-02,중급중국어I,김성준,"화05 목05 ,06 [N16-1-158(58-158)]",3,,,8,50
전공선택,2학년,5306804-01,현대 중국의 이해,이선옥,"월02 ,03 ,04 [N16-1-158(58-158)]",3,,,22,50
전공선택,3학년,5306084-01,한시의감상과이해I,노경희,"화07 ,08 ,09 [N16-1-159(58-159)]",3,,,18,50
전공선택,3학년,5306095-01,중국어문법II,이윤정,"월05 수05 ,06 [N16-1-158(58-158)]",3,,,18,50
전공선택,3학년,5306140-01,중국의 매스미디어와 현대 사회,김성준,"화03 목02 ,03 [N16-1-159(58-159)]",3,,,29,50
전공선택,3학년,5306141-01,소설로 보는 중국 사회 Ⅰ,강주완,"수07 ,08 ,09 [N16-1-158(58-158)]",3,,,12,50
전공선택,3학년,5306142-01,중국의 비즈니스 문화와 커뮤니케이션,봉인영,"목06 ,07 ,08 [N16-1-258(58-258)]",3,,,32,40
전공선택,3학년,5306808-01,중국 문학과 문화의 이해,배득렬,"월07 ,08 ,09 [N16-1-159(58-159)]",3,,,6,50
전공선택,4학년,5306111-01,중어과교재연구 및 지도법,이윤정,"월08 ,09 [N16-1-158(58-158)]",2,,,3,50
전공선택,4학년,5306132-01,비즈니스 중국어,김영기,"수02 ,03 ,04 [N16-1-158(58-158)]",3,,,9,50
전공선택,4학년,5306134-01,중국의 고전 가곡과 연극,배병균,"월05 ,06 수05 [N16-1-159(58-159)]",3,,,16,50
전공선택,4학년,5306150-01,중국어통번역연습,이상오,"화05 ,06 목05 [N16-1-159(58-159)]",3,,,19,50
